dates,prices
2016-05-23,45.305
2016-05-24,45.285
2016-05-25,45.435
2016-05-26,45.6
2016-05-27,45.83
2016-05-31,46.045
2016-06-01,46.385
2016-06-02,46.35
2016-06-03,46.175
2016-06-06,46.82
2016-06-07,46.815
2016-06-08,46.9
2016-06-09,46.8
2016-06-10,46.67
2016-06-13,46.54
2016-06-14,46.215
2016-06-15,46.37
2016-06-16,45.88
2016-06-17,45.575
2016-06-20,45.465
2016-06-21,45.485
2016-06-22,45.585
2016-06-23,45.695
2016-06-24,47.495
2016-06-27,47.52
2016-06-28,47.825
2016-06-29,48.405
2016-06-30,49.56
2016-07-01,50.16
2016-07-04,49.97
2016-07-05,50.43
2016-07-06,50.58
2016-07-07,50.88
2016-07-08,51.35
2016-07-11,51.825
2016-07-12,51.31
2016-07-13,51.44
2016-07-14,51.27
2016-07-15,51.51
2016-07-18,51.375
2016-07-19,51.745
2016-07-20,52.025
2016-07-21,51.795
2016-07-22,52.225
2016-07-25,51.975
2016-07-26,52.045
2016-07-27,52.15
2016-07-28,52.03
2016-07-29,51.915
2016-08-01,52.195
2016-08-02,51.23
2016-08-03,51.125
2016-08-04,52.125
2016-08-05,52.735
2016-08-08,52.985
2016-08-09,53.49
2016-08-10,53.33
2016-08-11,53.85
2016-08-12,54.01
2016-08-15,54.475
2016-08-16,53.755
2016-08-17,53.315
2016-08-18,53.155
2016-08-19,53.3
2016-08-22,52.895
2016-08-23,53.08
2016-08-24,52.685
2016-08-25,52.75
2016-08-26,52.955
2016-08-30,52.985
2016-08-31,52.67
2016-09-01,51.96
2016-09-02,52.56
2016-09-05,52.565
2016-09-06,52.275
2016-09-07,52.69
2016-09-08,52.865
2016-09-09,52.315
2016-09-12,51.635
2016-09-13,51.735
2016-09-14,51.81
2016-09-15,52.0
2016-09-16,52.105
2016-09-19,52.705
2016-09-20,53.04
2016-09-21,53.275
2016-09-22,53.31
2016-09-23,53.665
2016-09-26,53.04
2016-09-27,52.985
2016-09-28,53.08
2016-09-29,53.44
2016-09-30,53.31
2016-10-03,53.925
2016-10-04,54.395
2016-10-05,54.33
2016-10-06,54.61
2016-10-07,55.45
2016-10-10,56.0
